School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2021-2022,HAWAII,1500030,Hawaii Department of Education,Mililani High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,97%,624,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Moanalua High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,94%,431,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Leilehua High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90%,434,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Waianae High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,81%,404,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Pearl City High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,91%,387,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Nanakuli High &amp; Intermediate School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-84%,175,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,James Campbell High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,86%,800,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Waialua High &amp; Intermediate School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,97,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Admiral Arthur W Radford High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,92%,267,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Waipahu High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,86%,706,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kalani High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,97%,342,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Aiea High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,92%,223,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,President Theodore Roosevelt High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,86%,379,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,President William McKinley High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,69%,453,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kaimuki High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,60-64%,169,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Governor Wallace Rider Farrington High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,73%,562,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Henry J Kaiser High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,96%,300,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kamaile Academy PCS,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,60-79%,23,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Anuenue School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,21,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,King Kekaulike High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,76%,284,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kealakehe High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,81%,374,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Keaau High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90%,293,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kapolei High School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,92%,491,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Connections - New Century PCS,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,50-59%,36,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kanu o ka Aina - New Century PCS,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,60-79%,18,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,West Hawaii Explorations Academy,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-89%,41,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Halau Ku Mana - A New Century PCS,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,11,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,University Laboratory School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,56,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Myron B. Thompson Academy - New Century PCS,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,26,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Hakipuu Academy,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,S,5,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Ke Kula o Samuel M Kamakau - A Laboratory PCS,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,S,4,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Ke Ana Laahana - PCS,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,8,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kihei Charter School,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,62,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Ke Kula Niihau o Kekaha Learning Center,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,S,3,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Hawaii Academy of Arts &amp; Science PCS,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,65,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Ke Kula o Ehunuikaimalino,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,10,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kanuikapono - PCS,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,10,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kawaikini - NCPCS,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,S,5,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Hawaii Technology Academy - PCS,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,158,,All Students,All Students in School,,,,,
2021-2022,HAWAII,1500030,Hawaii Department of Education,Kapolei Charter School by Goodwill Hawaii,1.50003E+11,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,35,,All Students,All Students in School,,,,,
