School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2021-2022,ALABAMA,0101830,Jackson County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,95%,347,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101860,Jacksonville City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,122,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101890,Jasper City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,179,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101920,Jefferson County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90%,2864,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101950,Lamar County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,175,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0101980,Lanett City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,75-79%,67,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102010,Lauderdale County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,93%,650,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102040,Lawrence County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,94%,335,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102070,Lee County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,87%,677,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102100,Limestone County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,86%,1195,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102130,Linden City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,60-79%,29,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102160,Lowndes County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,75-79%,101,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102190,Macon County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-84%,133,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102220,Madison County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,93%,1539,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102250,Marengo County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,74,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102310,Marion County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90%,236,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102350,Midfield City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,89,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102370,Mobile County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,83%,3750,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102400,Monroe County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,83%,236,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102430,Montgomery County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,67%,2060,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102480,Morgan County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,87%,545,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102490,Mountain Brook City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,98%,324,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102520,Muscle Shoals City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,196,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102550,Oneonta City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,125,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102580,Opelika City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,87%,327,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102610,Opp City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,84,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102635,Oxford City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90%,286,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102640,Ozark City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-84%,190,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102650,Pell City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,82%,261,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102670,Perry County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,102,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102700,Phenix City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,93%,409,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102730,Pickens County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,173,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102760,Piedmont City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,76,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102790,Pike County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,151,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102820,Randolph County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,132,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102850,Roanoke City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,109,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102880,Russell County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,92%,235,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102910,Russellville City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,154,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102940,Scottsboro City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,190,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0102970,Selma City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,70-74%,199,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103000,Sheffield City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-89%,57,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103030,Shelby County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,95%,1594,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103062,St Clair County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,87%,727,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103090,Sumter County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,70-74%,113,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103120,Sylacauga City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,168,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103150,Talladega City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,129,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103180,Talladega County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,93%,488,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103210,Tallapoosa County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,88%,210,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103240,Tallassee City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-84%,141,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103270,Tarrant City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,70-74%,99,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103300,Thomasville City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,81,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103330,Troy City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,125,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103360,Tuscaloosa City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,84%,622,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103390,Tuscaloosa County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85%,1316,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103420,Tuscumbia City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,114,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103430,Vestavia Hills City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,96%,504,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103450,Walker County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85%,565,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103480,Washington County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,92%,202,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103510,Wilcox County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,75-79%,135,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103540,Winfield City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,81,,All Students,All Students in LEA,,,,,
2021-2022,ALABAMA,0103580,Winston County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,169,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200001,Lower Kuskokwim School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,52%,306,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200003,Lower Yukon School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,65-69%,129,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200004,Yupiit School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,40-49%,41,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200005,Kashunamiut School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,60-79%,19,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200006,Mount Edgecumbe,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,73,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200007,Aleutians East Borough School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,10,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200020,Bering Strait School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-84%,120,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200030,Bristol Bay Borough School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,11,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200050,Alaska Gateway School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,60-79%,25,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200060,Cordova City School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,21,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200070,Copper River School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,23,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200090,Craig City School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,40-49%,50,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200100,Delta/Greely School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,75-79%,61,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200120,Dillingham City School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,60-79%,28,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200130,Galena City School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,74%,580,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200150,Ketchikan Gateway Borough School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-84%,188,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200180,Anchorage School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,82%,3043,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200210,Juneau Borough School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,86%,356,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200240,Sitka School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,75-79%,87,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200270,Haines Borough School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,12,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200300,Hoonah City School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,S,5,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200330,Hydaburg City School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,6,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200360,Kake City School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,7,,All Students,All Students in LEA,,,,,
2021-2022,ALASKA,0200390,Kenai Peninsula Borough School District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,77%,651,,All Students,All Students in LEA,,,,,
